plu_kod,tw_nazwa,tw_cena_sprz,tw_idabaco
5902036000670,FANTA NAP GAZ 4X850ML POMAR,"18,99",4168399
5449000294685,FANTA NAP GAZ 4X850ML POMAR,"18,99",4168399
5908260250843,OSHEE NAP IZO WIELOOWOCOWY 1L,"4,49",3871498
5449000131805,COCA COLA NAP”J GAZ 330ML ZERO,"3,99",3869955
5908260251574,OSHEE NAP IZO 0 CUKR OWOC 750ML,"3,29",3871555
5900552029731,4MOVE 150ML VITAMIN KICK WI+MI,"2,29",3871563
5908260251659,OSHEE VIT NAP ENER TROPIK 250ML,"2,69",3871589
5907637321414,ECO+  Napoj niegazowany jablko,"1,19",3870854
5900497019064,PEPSI 4X1.5L COLA,"19,49",3870094
5900497018661,PEPSI 4X1.5L COLA,"19,49",3870094
5900497314046,PEPSI 4X1.5L COLA,"19,49",3870094
5901597860433,HOOP NAP”J 2L GAZ COLA,"5,49",3869864
5900497311502,PEPSI 1.5L COLA,"7,79",3870102
5906441330803,ZBYSZKO 3 FRESH CITR 1.75L GAZ,"3,29",3870219
3564700814017,"WM NAPOJ GAZOWANY TONIC 1,5L","4,99",3870391
5900552041429,BLACK 250ML SEX ENERGY,"2,99",3871092
5900497020558,ROCKSTAR NAP”J ENERG 250ML XDUR,"4,39",3871126
5900497280501,MOUNTAIN DEW 500ML,"4,79",3870680
5060896623863,MONST NAP”J ENERG 500ML GOLD,"5,99",4360517
5908260253790,OSH VITAM NAP 555,"3,49",4632246
5908260252472,OSHEE VITAMIN FRUIT RED PUSZKA,"1,9",4632253
5908260251246,MINERAL WATER 1 000 ML,"2,99",4632279
5900497112383,"PEPSI NAP GAZ 2,25L COLA","8,99",4634119
5906441340888,Zbyszko 3 Gorzkie PomaraÒcze ga,"2,59",4765921
5908260250027,OSHEE VIT NAP ENER WIT C 555ML,"3,49",3871480
5900497302005,PEPSI MAX 2L,"7,99",3869930
5449000131843,COCA COLA ZERO 2L,"7,49",3869963
5908260250126,OSHEE NAP IZO POMARA—CZOW 750ML,"3,29",3871514
5449000014535,SPRITE NAP”J 330ML,"2,99",3870532
8001160001113,PEPSI GATO NAP IZOT 500ML BLUE,"3,29",3871613
3564709000114,NRT LEMONIADA CYTRYNOWA 1L GAZ,"9,99",3870623
5997264159320,"PEPSI LIPT NAP HERB 1,5L GREEN","5,49",3870904
3564700510735,WM NAP”J 6X330X GAZOW COLA ZERO,"10,99",3870078
5900497670500,PEPSI LIPT NAP HERB 500ML GREEN,"2,99",3870797
5997264159313,PEPSI LIPT NAP HERB 500ML GREEN,"2,99",3870797
5900497019699,PEPSI LIPT NAP HERB 500ML GREEN,"2,99",3870797
5449000000286,COCA COLA NAP”J GAZ 2L,"11,49",3869872
5900552021223,BLACK 4X250ML TYSON,"12,99",3871001
5900552047223,BLACK VITAMIN ENERGY MAGNEZ+GUA,"1,99",3871019
5900497300506,PEPSI 500ML MAX,"4,79",3870110
5906441330797,ZBYSZKO 3 TONIC 1.75L GAZ,"3,29",3870227
3564700813584,WM NAPOJ GAZOWANY MOHITO ZERO P,"3,99",3870383
5900956103099,HERBAPOL GRE NAP 250ML ENER ACA,"3,49",3871084
5903240220007,SOTI NAT NAP”J 530ML ZIEL HERB,"4,79",4638177
5902860411260,SCHWEPP NAP 1.35L GAZ ORANGE,"7,59",4650909
5902860413783,SCHWEPP NAP 1.35L TONIC ZERO,"7,99",4650958
5900541005760,Øywiec zdrÛj green tea gruszka,"3,29",4653655
